DataSetAverageArrayAverageBST
000
30100.48
6099.68.033
90100.238.27
120105.78.23
150109.488.19
180107.58.13
2111068.35













DataSetAverage
00
458
908.033
1358.27
1808.23
2118.19
